window,mae,rmse,mape,mse
153,29.59525162524171,35.115865264622194,0.03729745537973966,1233.1239932830997
154,38.00467214448603,45.35770825141407,0.04891874516775806,2057.3216978203955
155,42.20033260659956,49.66960772894146,0.05358950035574876,2467.069931946921
156,41.455138274789306,49.11489282496093,0.0532758854506084,2412.272697207399
157,42.766163164647615,50.656978571698964,0.055294251363071235,2566.1294780135677
158,42.203463371956445,49.348072409087024,0.054137873172059335,2435.232250492496
159,41.90427129720558,49.4510942065681,0.05378053249584118,2445.410718226873
160,45.469382238216944,53.563211599201395,0.05943361675565352,2869.017636820823
161,50.13929676943938,60.68893420286182,0.07022697669045042,3683.1467346792915
162,50.99054851696202,60.31245586258808,0.07180193316583432,3637.592332176635
163,60.46473406130432,81.72061923198255,0.07960147838745238,6678.259607658678
164,64.24248813583031,82.7442093563394,0.08425054796756697,6846.6041820057235
165,61.45537388129537,82.71618022006908,0.08121590556678496,6841.966470198947
166,62.13137844046464,82.24840274786644,0.08205553719278398,6764.799754575242
167,62.06754395902923,84.68138236174815,0.08255211389934422,7170.936518696591
168,57.618917638513004,83.38862640704768,0.0730936352070833,6953.663014054169
169,64.2569443252452,85.37143970954838,0.07890573059762572,7288.282718081055
170,55.688772040462695,68.10713526329106,0.0715920442376451,4638.581873772225
171,63.48129462395051,73.86932766268512,0.0803812643733569,5456.677569337138
172,66.53899451004618,75.01188835824199,0.08371305722803345,5626.783395069361
173,66.52679853559492,73.98653409644966,0.08311934572478384,5474.007227605109
174,58.28146136541344,66.35066021354434,0.06825903770277054,4402.410110773217
175,58.833812725331654,65.29355762083009,0.06935773516079313,4263.248666784658
176,48.236019200301925,51.96423548321886,0.05803230052852668,2700.2817693554216
177,51.70369535917468,64.25396503115554,0.06076801798989178,4128.572022224959
178,57.23087965840872,72.34011402579723,0.06670836843132648,5233.092097265345
179,65.50041954328553,78.11324783661581,0.07632405879654279,6101.679487584565
180,72.80904317305485,81.20508408463627,0.08521291660550458,6594.265681192847
181,65.7083963193277,79.72837338635935,0.07488695717461788,6356.613522834735
182,68.96199423706835,81.21250484732937,0.0790112066806828,6595.470943577498
183,69.3956659079591,78.78406151816704,0.07866056112078294,6206.928349298329
184,52.73517180351822,57.297809059959,0.0608849305032258,3283.0389230715195
185,58.08290225787467,65.94738152991212,0.06672103185048847,4349.057130651795
186,61.12294808153139,68.63129254618859,0.07050609654902644,4710.254316560522
187,70.7679524808798,75.19913847316664,0.08197722703992238,5654.910427106491
188,68.81748560982648,75.23460321065399,0.07912782140470329,5660.245520264548
189,70.65082306778756,77.5262851871102,0.08094629681700903,6010.324894913142
190,55.44705898716528,61.99123844007716,0.0649029910593497,3842.9136433345006
191,54.67740157897304,59.398822725684006,0.0642872076584702,3528.2201411972346
192,52.06536899122581,58.5959800363491,0.061367698844085716,3433.488876420222
193,52.59988925948687,57.98868491499361,0.06244823522230026,3362.687578170408
194,55.69372356043113,60.05670727217446,0.06713133833666048,3606.8080883756525
195,51.765282690280024,58.11052449414465,0.061499554022862064,3376.833056984585
196,53.24321262630099,59.50487571721147,0.06306526548434446,3540.830234120783
197,49.49626917695067,54.71524666703933,0.05858846082233702,2993.758217834959
198,54.881822031343276,63.81816960169629,0.06385066897456489,4072.7587713108724
199,51.4680802740889,64.22634662937111,0.05988998746961751,4125.02360135613
200,55.16974488733941,60.99035655537377,0.06545484551301649,3719.8235927516243
201,52.552460253617014,60.54180693112369,0.06281803902553587,3665.3103864854565
202,61.28961858462765,71.91721547327657,0.07173859514044975,5172.085881429691
203,66.50978825984173,73.6211718130303,0.07880224019400131,5420.076939123728
204,55.33335229416387,61.97287296174786,0.06730353758050868,3840.636983132939
205,45.586580789053855,53.59040987045966,0.05698339036461945,2871.93203008386
206,43.955487360694,52.808604307632486,0.055626497083623494,2788.7486889201
207,45.336798789063906,54.16197250844396,0.05776821707511833,2933.5192660054395
208,43.2122207773093,51.73607430572345,0.05473318006521587,2676.621384567338
209,43.50360337413648,49.59165832211514,0.053483170230186845,2459.332575137412
210,58.669079046308376,66.25012300969217,0.07469074208327399,4389.078798799345
211,53.176500537170696,62.21649005262645,0.06898067875349893,3870.8916344685654
212,40.15753510853574,56.62174357304792,0.054246663671094354,3206.0218452519935
213,40.69875714150122,56.84166579489855,0.05493230536124332,3230.9749703389402
214,39.75947662607679,57.84711760627888,0.05396888347125537,3346.28901535466
215,43.61514105889067,59.121519359446715,0.06048432597296973,3495.354051369433
216,27.053957867360136,37.37691057151784,0.03727315195665685,1397.0334438712423
217,23.23529848993085,29.290645005251218,0.030748329756248128,857.9418848236481
